#,Episode,UserRating,UserVotes,
1.1 ,Chapter 1,8.7,1,712,
1.2 ,Chapter 2,8.7,1,246,
1.3 ,Chapter 3,8.4,1,023,
1.4 ,Chapter 4,8.3,940,
1.5 ,Chapter 5,8.4,910,
1.6 ,Chapter 6,8.5,879,
1.7 ,Chapter 7,8.3,824,
1.8 ,Chapter 8,7.9,832,
1.9 ,Chapter 9,8.6,758,
1.10 ,Chapter 10,8.7,778,
1.11 ,Chapter 11,8.9,850,
1.12 ,Chapter 12,8.7,757,
1.13 ,Chapter 13,8.9,896,
2.1 ,Chapter 14,9.7,1,689,
2.2 ,Chapter 15,8.8,563,
2.3 ,Chapter 16,8.9,480,
2.4 ,Chapter 17,9.4,513,
2.5 ,Chapter 18,8.7,371,
2.6 ,Chapter 19,8.8,331,
2.7 ,Chapter 20,8.9,318,
2.8 ,Chapter 21,9.0,299,
2.9 ,Chapter 22,9.2,320,
2.10 ,Chapter 23,8.8,280,
2.11 ,Chapter 24,9.1,313,
2.12 ,Chapter 25,9.3,281,
2.13 ,Chapter 26,9.7,530,

3.1 ,Chapter 27
