#,Episode,UserRating,UserVotes,
1.1 ,Pilot,8.7,491,
1.2 ,Post Hoc, Ergo Propter Hoc,8.2,330,
1.3 ,A Proportional Response,8.6,313,
1.4 ,Five Votes Down,8.2,286,
1.5 ,The Crackpots and These Women,8.7,372,
1.6 ,Mr. Willis of Ohio,8.7,309,
1.7 ,The State Dinner,8.3,278,
1.8 ,Enemies,8.2,256,
1.9 ,The Short List,8.6,270,
1.10 ,In Excelsis Deo,8.8,440,
1.11 ,Lord John Marbury,8.1,262,
1.12 ,He Shall, from Time to Time...,8.6,262,
1.13 ,Take Out the Trash Day,8.4,250,
1.14 ,Take This Sabbath Day,8.8,350,
1.15 ,Celestial Navigation,8.8,324,
1.16 ,20 Hours in L.A.,8.0,265,
1.17 ,The White House Pro-Am,7.9,232,
1.18 ,Six Meetings Before Lunch,8.2,281,
1.19 ,Let Bartlet Be Bartlet,8.8,301,
1.20 ,Mandatory Minimums,8.4,268,
1.21 ,Lies, Damn Lies and Statistics,8.6,270,
1.22 ,What Kind of Day Has It Been,8.8,326,
2.1 ,In the Shadow of Two Gunmen: Part I,9.0,433,
2.2 ,In the Shadow of Two Gunmen: Part II,8.9,353,
2.3 ,The Midterms,8.2,255,
2.4 ,In This White House,8.6,260,
2.5 ,And It's Surely to Their Credit,8.2,246,
2.6 ,The Lame Duck Congress,7.8,211,
2.7 ,The Portland Trip,7.9,210,
2.8 ,Shibboleth,8.3,282,
2.9 ,Galileo,8.2,234,
2.10 ,Noël,8.9,482,
2.11 ,The Leadership Breakfast,8.0,210,
2.12 ,The Drop In,7.9,207,
2.13 ,Bartlet's Third State of the Union,8.2,230,
2.14 ,The War at Home,8.3,230,
2.15 ,Ellie,8.2,217,
2.16 ,Somebody's Going to Emergency, Somebody's Going to Jail,8.6,258,
2.17 ,The Stackhouse Filibuster,8.7,267,
2.18 ,17 People,8.7,243,
2.19 ,Bad Moon Rising,8.6,216,
2.20 ,The Fall's Gonna Kill You,8.4,217,
2.21 ,18th and Potomac,8.7,257,
2.22 ,Two Cathedrals,9.3,947,
3.1 ,Isaac and Ishmael,8.1,335,
3.2 ,Manchester: Part 1,8.2,217,
3.3 ,Manchester: Part 2,8.2,212,
3.4 ,Ways and Means,7.8,186,
3.5 ,On the Day Before,7.8,179,
3.6 ,War Crimes,7.9,179,
3.7 ,Gone Quiet,7.8,176,
3.8 ,The Indians in the Lobby,8.1,201,
3.9 ,The Women of Qumar,7.8,198,
3.10 ,Bartlet for America,8.8,275,
3.11 ,H. Con-172,7.9,180,
3.12 ,100,000 Airplanes,8.2,222,
3.13 ,The Two Bartlets,8.0,189,
3.14 ,Night Five,8.1,207,
3.15 ,Hartsfield's Landing,8.2,192,
3.16 ,Dead Irish Writers,8.1,200,
3.17 ,The U.S. Poet Laureate,7.9,195,
3.18 ,Stirred,8.2,173,
3.19 ,Enemies Foreign and Domestic,8.3,195,
3.20 ,The Black Vera Wang,8.0,195,
3.21 ,We Killed Yamamoto,8.3,195,
3.22 ,Posse Comitatus,8.7,318,
4.1 ,20 Hours in America: Part I,8.6,295,
4.2 ,20 Hours in America: Part II,8.3,57,
4.3 ,College Kids,7.9,188,
4.4 ,The Red Mass,7.7,177,
4.5 ,Debate Camp,8.1,213,
4.6 ,Game On,8.7,234,
4.7 ,Election Night,8.4,205,
4.8 ,Process Stories,7.8,178,
4.9 ,Swiss Diplomacy,7.6,164,
4.10 ,Arctic Radar,7.8,161,
4.11 ,Holy Night,8.1,194,
4.12 ,Guns Not Butter,7.7,162,
4.13 ,The Long Goodbye,7.1,218,
4.14 ,Inauguration: Part 1,7.9,166,
4.15 ,Inauguration: Part 2 - Over There,8.0,167,
4.16 ,The California 47th,7.7,171,
4.17 ,Red Haven's on Fire,7.7,171,
4.18 ,Privateers,7.1,167,
4.19 ,Angel Maintenance,7.5,165,
4.20 ,Evidence of Things Not Seen,8.1,177,
4.21 ,Life on Mars,8.5,219,
4.22 ,Commencement,8.8,262,
4.23 ,Twenty Five,8.9,255,
5.1 ,7A WF 83429,8.3,211,
5.2 ,The Dogs of War,7.9,189,
5.3 ,Jefferson Lives,7.4,170,
5.4 ,Han,7.7,186,
5.5 ,Constituency of One,7.7,161,
5.6 ,Disaster Relief,7.7,156,
5.7 ,Separation of Powers,7.9,172,
5.8 ,Shutdown,8.5,203,
5.9 ,Abu el Banat,7.5,156,
5.10 ,The Stormy Present,7.4,176,
5.11 ,The Benign Prerogative,7.5,166,
5.12 ,Slow News Day,7.9,167,
5.13 ,The Warfare of Genghis Khan,7.8,171,
5.14 ,An Khe,7.4,157,
5.15 ,Full Disclosure,7.3,153,
5.16 ,Eppur Si Muove,7.5,150,
5.17 ,The Supremes,8.8,288,
5.18 ,Access,6.9,189,
5.19 ,Talking Points,7.5,154,
5.20 ,No Exit,7.8,159,
5.21 ,Gaza,8.1,170,
5.22 ,Memorial Day,8.0,167,
6.1 ,N.S.F. Thurmont,8.0,160,
6.2 ,The Birnam Wood,8.3,170,
6.3 ,Third Day Story,7.9,157,
6.4 ,Liftoff,8.3,173,
6.5 ,The Hubbert Peak,7.6,156,
6.6 ,The Dover Test,7.5,144,
6.7 ,A Change Is Gonna Come,7.5,145,
6.8 ,In the Room,8.3,158,
6.9 ,Impact Winter,8.5,154,
6.10 ,Faith-Based Initiative,8.0,154,
6.11 ,Opposition Research,7.8,175,
6.12 ,365 Days,7.7,148,
6.13 ,King Corn,7.9,161,
6.14 ,The Wake Up Call,7.8,164,
6.15 ,Freedonia,8.2,161,
6.16 ,Drought Conditions,7.9,167,
6.17 ,A Good Day,8.5,166,
6.18 ,La Palabra,8.2,152,
6.19 ,Ninety Miles Away,7.2,143,
6.20 ,In God We Trust,8.1,153,
6.21 ,Things Fall Apart,7.9,145,
6.22 ,2162 Votes,8.8,173,
7.1 ,The Ticket,8.0,183,
7.2 ,The Mommy Problem,7.9,174,
7.3 ,Message of the Week,7.9,148,
7.4 ,Mr. Frost,7.9,151,
7.5 ,Here Today,8.3,158,
7.6 ,The Al Smith Dinner,7.9,156,
7.7 ,The Debate,8.7,227,
7.8 ,Undecideds,8.1,155,
7.9 ,The Wedding,8.0,154,
7.10 ,Running Mates,8.1,151,
7.11 ,Internal Displacement,8.0,153,
7.12 ,Duck and Cover,8.4,150,
7.13 ,The Cold,8.2,159,
7.14 ,Two Weeks Out,7.9,149,
7.15 ,Welcome to Wherever You Are,7.8,152,
7.16 ,Election Day: Part 1,8.5,169,
7.17 ,Election Day: Part 2,8.9,182,
7.18 ,Requiem,8.9,227,
7.19 ,Transition,8.5,154,
7.20 ,The Last Hurrah,8.2,165,
7.21 ,Institutional Memory,8.5,156,
7.22 ,Tomorrow,8.8,307,
