#,Episode,UserRating,UserVotes,
1.0 ,The Cage,7.7,2,545,
1.1 ,The Man Trap,7.3,1,272,
1.2 ,Charlie X,7.2,1,195,
1.3 ,Where No Man Has Gone Before,7.9,2,119,
1.4 ,The Naked Time,8.0,1,114,
1.5 ,The Enemy Within,7.8,1,065,
1.6 ,Mudd's Women,7.0,1,027,
1.7 ,What Are Little Girls Made Of?,7.7,988,
1.8 ,Miri,7.2,997,
1.9 ,Dagger of the Mind,7.5,924,
1.10 ,The Corbomite Maneuver,8.2,1,059,
1.11 ,The Menagerie: Part I,8.5,1,029,
1.12 ,The Menagerie: Part II,8.4,979,
1.13 ,The Conscience of the King,7.3,917,
1.14 ,Balance of Terror,9.0,1,247,
1.15 ,Shore Leave,7.7,945,
1.16 ,The Galileo Seven,7.7,912,
1.17 ,The Squire of Gothos,7.6,908,
1.18 ,Arena,8.1,977,
1.19 ,Tomorrow Is Yesterday,8.0,910,
1.20 ,Court Martial,7.4,856,
1.21 ,The Return of the Archons,7.3,831,
1.22 ,Space Seed,8.9,1,322,
1.23 ,A Taste of Armageddon,8.1,894,
1.24 ,This Side of Paradise,8.1,874,
1.25 ,The Devil in the Dark,8.5,952,
1.26 ,Errand of Mercy,8.3,867,
1.27 ,The Alternative Factor,5.9,846,
1.28 ,The City on the Edge of Forever,9.3,1,582,
1.29 ,Operation -- Annihilate!,7.6,778,
2.1 ,Amok Time,8.8,1,069,
2.2 ,Who Mourns for Adonais?,7.1,858,
2.3 ,The Changeling,7.8,772,
2.4 ,Mirror, Mirror,9.1,1,182,
2.5 ,The Apple,6.4,757,
2.6 ,The Doomsday Machine,8.9,1,028,
2.7 ,Catspaw,6.3,754,
2.8 ,I, Mudd,7.5,797,
2.9 ,Metamorphosis,7.4,768,
2.10 ,Journey to Babel,8.6,849,
2.11 ,Friday's Child,7.0,715,
2.12 ,The Deadly Years,7.4,722,
2.13 ,Obsession,7.4,669,
2.14 ,Wolf in the Fold,7.5,738,
2.15 ,The Trouble with Tribbles,8.9,1,156,
2.16 ,The Gamesters of Triskelion,6.9,723,
2.17 ,A Piece of the Action,7.9,814,
2.18 ,The Immunity Syndrome,7.6,685,
2.19 ,A Private Little War,7.0,668,
2.20 ,Return to Tomorrow,7.6,672,
2.21 ,Patterns of Force,7.6,746,
2.22 ,By Any Other Name,7.7,717,
2.23 ,The Omega Glory,6.3,710,
2.24 ,The Ultimate Computer,8.0,708,
2.25 ,Bread and Circuses,7.3,712,
2.26 ,Assignment: Earth,7.7,786,
3.1 ,Spock's Brain,5.6,765,
3.2 ,The Enterprise Incident,8.5,824,
3.3 ,The Paradise Syndrome,6.9,696,
3.4 ,And the Children Shall Lead,5.3,711,
3.5 ,Is There in Truth No Beauty?,7.1,675,
3.6 ,Spectre of the Gun,7.5,714,
3.7 ,Day of the Dove,8.1,719,
3.8 ,For the World Is Hollow and I Have Touched the Sky,7.1,649,
3.9 ,The Tholian Web,8.1,717,
3.10 ,Plato's Stepchildren,6.7,662,
3.11 ,Wink of an Eye,7.4,630,
3.12 ,The Empath,6.7,685,
3.13 ,Elaan of Troyius,7.2,649,
3.14 ,Whom Gods Destroy,6.9,623,
3.15 ,Let That Be Your Last Battlefield,7.2,690,
3.16 ,The Mark of Gideon,6.6,613,
3.17 ,That Which Survives,6.5,601,
3.18 ,The Lights of Zetar,6.2,578,
3.19 ,Requiem for Methuselah,7.7,676,
3.20 ,The Way to Eden,5.4,716,
3.21 ,The Cloud Minders,6.9,602,
3.22 ,The Savage Curtain,7.0,617,
3.23 ,All Our Yesterdays,8.3,707,
3.24 ,Turnabout Intruder,6.9,646,
