#,Episode,UserRating,UserVotes,
1.1 ,Pilot,8.4,1,828,
1.2 ,Grace,8.0,1,417,
1.3 ,Clean Skin,8.0,1,254,
1.4 ,Semper I,7.8,1,174,
1.5 ,Blind Spot,8.3,1,144,
1.6 ,The Good Soldier,8.4,1,156,
1.7 ,The Weekend,8.9,1,327,
1.8 ,Achilles Heel,8.4,1,105,
1.9 ,Crossfire,8.2,1,086,
1.10 ,Representative Brody,8.3,1,085,
1.11 ,The Vest,8.7,1,162,
1.12 ,Marine One,8.9,1,623,
2.1 ,The Smile,8.5,1,536,
2.2 ,Beirut Is Back,8.9,1,433,
2.3 ,State of Independence,8.3,1,187,
2.4 ,New Car Smell,8.8,1,263,
2.5 ,Q&A,9.0,1,471,
2.6 ,A Gettysburg Address,8.4,1,072,
2.7 ,The Clearing,7.9,998,
2.8 ,I'll Fly Away,8.3,1,023,
2.9 ,Two Hats,8.5,1,078,
2.10 ,Broken Hearts,8.7,1,093,
2.11 ,In Memoriam,8.6,1,095,
2.12 ,The Choice,9.2,1,989,
3.1 ,Tin Man Is Down,8.0,1,459,
3.2 ,Uh... Oh... Ah...,7.3,1,222,
3.3 ,Tower of David,7.4,1,211,
3.4 ,Game On,8.3,1,146,
3.5 ,The Yoga Play,8.1,928,
3.6 ,Still Positive,8.1,889,
3.7 ,Gerontion,8.2,847,
3.8 ,A Red Wheelbarrow,8.5,916,
3.9 ,One Last Thing,8.6,971,
3.10 ,Good Night,8.8,1,051,
3.11 ,Big Man in Tehran,9.3,1,511,
3.12 ,The Star,8.2,1,570,

4.1 ,Episode #4.1
4.2 ,Episode #4.2
4.3 ,Episode #4.3
4.4 ,Episode #4.4
4.5 ,Episode #4.5
