#,Episode,UserRating,UserVotes,
1.1 ,Rose,7.6,2,541,
1.2 ,The End of the World,7.7,2,102,
1.3 ,The Unquiet Dead,7.8,1,995,
1.4 ,Aliens of London,7.2,1,857,
1.5 ,World War Three,7.2,1,783,
1.6 ,Dalek,8.7,2,096,
1.7 ,The Long Game,7.4,1,777,
1.8 ,Father's Day,8.4,1,952,
1.9 ,The Empty Child,9.1,2,449,
1.10 ,The Doctor Dances,9.1,2,229,
1.11 ,Boom Town,7.3,1,647,
1.12 ,Bad Wolf,8.7,1,912,
1.13 ,The Parting of the Ways,9.0,2,135,
2.0 ,The Christmas Invasion,8.2,1,939,
2.1 ,New Earth,7.5,1,872,
2.2 ,Tooth and Claw,8.0,1,961,
2.3 ,School Reunion,8.4,2,031,
2.4 ,The Girl in the Fireplace,9.2,3,492,
2.5 ,Rise of the Cybermen,7.9,1,769,
2.6 ,The Age of Steel,8.0,1,712,
2.7 ,The Idiot's Lantern,7.0,1,772,
2.8 ,The Impossible Planet,8.8,2,073,
2.9 ,The Satan Pit,8.8,2,089,
2.10 ,Love & Monsters,6.6,2,262,
2.11 ,Fear Her,6.2,1,842,
2.12 ,Army of Ghosts,8.6,1,825,
2.13 ,Doomsday,9.2,2,723,
3.0 ,The Runaway Bride,7.5,1,998,
3.1 ,Smith and Jones,8.0,1,859,
3.2 ,The Shakespeare Code,7.9,1,966,
3.3 ,Gridlock,8.0,1,940,
3.4 ,Daleks in Manhattan,7.1,1,710,
3.5 ,Evolution of the Daleks,7.1,1,691,
3.6 ,The Lazarus Experiment,6.8,1,654,
3.7 ,42,7.5,1,724,
3.8 ,Human Nature,8.9,2,239,
3.9 ,The Family of Blood,9.1,2,494,
3.10 ,Blink,9.8,6,733,
3.11 ,Utopia,8.8,2,004,
3.12 ,The Sound of Drums,8.7,1,990,
3.13 ,Last of the Time Lords,8.4,2,239,
4.0 ,Voyage of the Damned,7.7,2,165,
4.1 ,Partners in Crime,7.6,1,852,
4.2 ,The Fires of Pompeii,8.0,1,818,
4.3 ,Planet of the Ood,8.0,1,697,
4.4 ,The Sontaran Stratagem,7.6,1,560,
4.5 ,The Poison Sky,7.7,1,530,
4.6 ,The Doctor's Daughter,7.7,1,829,
4.7 ,The Unicorn and the Wasp,7.7,1,744,
4.8 ,Silence in the Library,9.2,2,445,
4.9 ,Forest of the Dead,9.3,2,323,
4.10 ,Midnight,8.8,2,293,
4.11 ,Turn Left,8.7,1,982,
4.12 ,The Stolen Earth,9.0,2,026,
4.14 ,Journey's End,9.0,2,429,
5.1 ,The Eleventh Hour,8.7,2,406,
5.2 ,The Beast Below,7.7,1,835,
5.3 ,Victory of the Daleks,6.9,1,749,
5.4 ,The Time of Angels,8.8,1,907,
5.5 ,Flesh and Stone,8.6,1,721,
5.6 ,The Vampires of Venice,7.2,1,590,
5.7 ,Amy's Choice,8.2,1,702,
5.8 ,The Hungry Earth,7.3,1,423,
5.9 ,Cold Blood,7.5,1,409,
5.10 ,Vincent and the Doctor,9.1,2,717,
5.11 ,The Lodger,8.1,1,627,
5.12 ,The Pandorica Opens,9.0,1,884,
5.13 ,The Big Bang,9.1,1,963,
6.0 ,A Christmas Carol,8.6,2,385,
6.1 ,The Impossible Astronaut,8.9,2,076,
6.2 ,Day of the Moon,8.9,1,779,
6.3 ,The Curse of the Black Spot,6.9,1,538,
6.4 ,The Doctor's Wife,9.0,2,238,
6.5 ,The Rebel Flesh,7.4,1,333,
6.6 ,The Almost People,7.6,1,314,
6.7 ,A Good Man Goes to War,9.0,1,976,
6.8 ,Let's Kill Hitler,8.2,1,473,
6.9 ,Night Terrors,7.2,1,163,
6.10 ,The Girl Who Waited,8.5,1,409,
6.11 ,The God Complex,8.0,1,266,
6.12 ,Closing Time,7.9,1,266,
6.13 ,The Wedding of River Song,8.8,1,693,
7.0 ,The Doctor, the Widow and the Wardrobe,7.5,1,448,
7.1 ,Asylum of the Daleks,8.9,2,479,
7.2 ,Dinosaurs on a Spaceship,7.7,1,747,
7.3 ,A Town Called Mercy,7.5,1,538,
7.4 ,The Power of Three,7.7,1,392,
7.5 ,The Angels Take Manhattan,9.0,2,289,
7.6 ,The Snowmen,8.6,2,022,
7.7 ,The Bells of Saint John,8.0,1,492,
7.8 ,The Rings of Akhaten,7.2,1,561,
7.9 ,Cold War,7.4,1,219,
7.10 ,Hide,7.9,1,194,
7.11 ,Journey to the Centre of the TARDIS,7.8,1,223,
7.12 ,The Crimson Horror,7.5,1,148,
7.13 ,Nightmare in Silver,7.7,1,137,
7.14 ,The Name of the Doctor,9.2,2,298,
- ,Planet of the Dead,7.5,1,524,
- ,Prequel to A Good Man Goes to War,7.4,201,
- ,Prequel to Let's Kill Hitler,7.7,207,
- ,Prequel to the Curse of the Black Spot,7.5,104,
- ,Prequel to the Doctor, the Widow and the Wardrobe,7.4,111,
- ,Prequel to the Impossible Astronaut,8.1,107,
- ,Prequel to the Snowmen,7.6,132,
- ,Prequel to the Wedding of River Song,7.7,107,
- ,The Day of the Doctor,9.4,9,191,
- ,The End of Time: Part One,8.2,1,740,
- ,The End of Time: Part Two,8.7,1,998,
- ,The Next Doctor,7.6,1,552,
- ,The Night of the Doctor,9.2,909,
- ,The Time of the Doctor,8.2,2,077,
- ,The Waters of Mars,8.6,1,804,

8.1 ,Episode #8.1
