#,Episode,UserRating,UserVotes,
1.1 ,Encounter at Farpoint,6.9,2,855,
1.2 ,The Naked Now,6.5,977,
1.3 ,Code of Honor,5.2,880,
1.4 ,The Last Outpost,6.3,814,
1.5 ,Where No One Has Gone Before,7.5,883,
1.6 ,Lonely Among Us,6.3,736,
1.7 ,Justice,6.0,816,
1.8 ,The Battle,6.9,738,
1.9 ,Hide and Q,7.0,792,
1.10 ,Haven,6.2,732,
1.11 ,The Big Goodbye,7.5,804,
1.12 ,Datalore,7.7,809,
1.13 ,Angel One,5.5,739,
1.14 ,11001001,7.6,804,
1.15 ,Too Short a Season,6.0,729,
1.16 ,When the Bough Breaks,6.3,710,
1.17 ,Home Soil,6.7,681,
1.18 ,Coming of Age,7.0,705,
1.19 ,Heart of Glory,7.3,675,
1.20 ,The Arsenal of Freedom,7.2,735,
1.21 ,Symbiosis,6.9,697,
1.22 ,Skin of Evil,6.7,777,
1.23 ,We'll Always Have Paris,6.6,679,
1.24 ,Conspiracy,8.1,805,
1.25 ,The Neutral Zone,7.4,731,
2.1 ,The Child,5.7,748,
2.2 ,Where Silence Has Lease,7.1,736,
2.3 ,Elementary, Dear Data,8.2,859,
2.4 ,The Outrageous Okona,6.2,753,
2.5 ,Loud as a Whisper,6.5,671,
2.6 ,The Schizoid Man,6.9,686,
2.7 ,Unnatural Selection,6.4,666,
2.8 ,A Matter of Honor,8.1,744,
2.9 ,The Measure of a Man,8.8,1,094,
2.10 ,The Dauphin,6.1,725,
2.11 ,Contagion,7.6,679,
2.12 ,The Royale,6.6,743,
2.13 ,Time Squared,7.6,726,
2.14 ,The Icarus Factor,6.2,621,
2.15 ,Pen Pals,6.7,678,
2.16 ,Q Who?,8.8,1,005,
2.17 ,Samaritan Snare,6.4,634,
2.18 ,Up the Long Ladder,6.3,654,
2.19 ,Manhunt,6.0,642,
2.20 ,The Emissary,7.5,671,
2.21 ,Peak Performance,7.7,666,
2.22 ,Shades of Gray,3.4,794,
3.1 ,Evolution,6.6,688,
3.2 ,The Ensigns of Command,7.5,710,
3.3 ,The Survivors,7.6,776,
3.4 ,Who Watches the Watchers,8.0,851,
3.5 ,The Bonding,6.5,667,
3.6 ,Booby Trap,7.5,684,
3.7 ,The Enemy,7.7,670,
3.8 ,The Price,6.3,638,
3.9 ,The Vengeance Factor,6.5,635,
3.10 ,The Defector,8.3,781,
3.11 ,The Hunted,7.4,685,
3.12 ,The High Ground,6.8,649,
3.13 ,Déjà Q,8.5,847,
3.14 ,A Matter of Perspective,6.8,637,
3.15 ,Yesterday's Enterprise,9.0,1,244,
3.16 ,The Offspring,8.2,868,
3.17 ,Sins of the Father,8.2,711,
3.18 ,Allegiance,7.4,673,
3.19 ,Captain's Holiday,7.2,698,
3.20 ,Tin Man,7.3,677,
3.21 ,Hollow Pursuits,7.8,714,
3.22 ,The Most Toys,7.6,702,
3.23 ,Sarek,8.1,730,
3.24 ,Ménage à Troi,6.7,630,
3.25 ,Transfigurations,6.9,626,
3.26 ,The Best of Both Worlds: Part 1,9.1,1,316,
4.1 ,The Best of Both Worlds: Part 2,9.0,1,176,
4.2 ,Family,8.0,833,
4.3 ,Brothers,7.8,680,
4.4 ,Suddenly Human,6.4,649,
4.5 ,Remember Me,7.8,754,
4.6 ,Legacy,6.7,653,
4.7 ,Reunion,8.3,718,
4.8 ,Future Imperfect,7.8,721,
4.9 ,Final Mission,6.8,642,
4.10 ,The Loss,6.0,607,
4.11 ,Data's Day,8.1,734,
4.12 ,The Wounded,8.1,689,
4.13 ,Devil's Due,7.2,687,
4.14 ,Clues,8.2,756,
4.15 ,First Contact,7.9,686,
4.16 ,Galaxy's Child,7.1,647,
4.17 ,Night Terrors,7.2,654,
4.18 ,Identity Crisis,6.7,620,
4.19 ,The Nth Degree,7.9,692,
4.20 ,Qpid,7.4,679,
4.21 ,The Drumhead,8.2,778,
4.22 ,Half a Life,7.2,629,
4.23 ,The Host,6.5,600,
4.24 ,The Mind's Eye,7.7,605,
4.25 ,In Theory,7.1,635,
4.26 ,Redemption,8.3,676,
5.1 ,Redemption II,8.3,664,
5.2 ,Darmok,8.5,956,
5.3 ,Ensign Ro,7.8,642,
5.4 ,Silicon Avatar,7.2,594,
5.5 ,Disaster,7.8,692,
