#,Episode,UserRating,UserVotes,
1.1 ,Emissary,7.4,1,858,
1.2 ,Past Prologue,6.9,472,
1.3 ,A Man Alone,6.8,454,
1.4 ,Babel,6.8,445,
1.5 ,Captive Pursuit,7.6,462,
1.6 ,Q-Less,6.9,455,
1.7 ,Dax,7.0,436,
1.8 ,The Passenger,6.3,406,
1.9 ,Move Along Home,6.0,442,
1.10 ,The Nagus,7.2,403,
1.11 ,Vortex,6.9,385,
1.12 ,Battle Lines,6.6,400,
1.13 ,The Storyteller,6.0,397,
1.14 ,Progress,6.7,402,
1.15 ,If Wishes Were Horses,6.4,401,
1.16 ,The Forsaken,6.7,382,
1.17 ,Dramatis Personae,7.0,389,
1.18 ,Duet,8.9,613,
1.19 ,In the Hands of the Prophets,7.7,397,
2.1 ,The Homecoming,7.6,376,
2.2 ,The Circle,7.7,372,
2.3 ,The Siege,7.9,379,
2.4 ,Invasive Procedures,6.9,362,
2.5 ,Cardassians,7.3,375,
2.6 ,Melora,6.3,378,
2.7 ,Rules of Acquisition,7.3,373,
2.8 ,Necessary Evil,8.1,411,
2.9 ,Second Sight,6.1,368,
2.10 ,Sanctuary,6.5,366,
2.11 ,Rivals,6.6,338,
2.12 ,The Alternate,6.7,334,
2.13 ,Armageddon Game,7.4,357,
2.14 ,Whispers,8.2,416,
2.15 ,Paradise,6.8,376,
2.16 ,Shadowplay,7.1,348,
2.17 ,Playing God,6.5,342,
2.18 ,Profit and Loss,7.1,358,
2.19 ,Blood Oath,7.9,400,
2.20 ,The Maquis: Part 1,7.7,369,
2.21 ,The Maquis: Part 2,7.8,362,
2.22 ,The Wire,8.0,390,
2.23 ,Crossover,7.9,389,
2.24 ,The Collaborator,7.0,346,
2.25 ,Tribunal,7.4,347,
2.26 ,The Jem'Hadar,8.5,403,
3.1 ,The Search: Part 1,8.2,397,
3.2 ,The Search: Part 2,8.0,388,
3.3 ,The House of Quark,7.8,392,
3.4 ,Equilibrium,6.6,341,
3.5 ,Second Skin,7.7,372,
3.6 ,The Abandoned,6.8,340,
3.7 ,Civil Defense,7.7,388,
3.8 ,Meridian,5.5,359,
3.9 ,Defiant,7.9,386,
3.10 ,Fascination,6.1,361,
3.11 ,Past Tense: Part 1,7.8,404,
3.12 ,Past Tense: Part 2,7.8,399,
3.13 ,Life Support,6.5,350,
3.14 ,Heart of Stone,7.0,346,
3.15 ,Destiny,7.3,346,
3.16 ,Prophet Motive,6.6,329,
3.17 ,Visionary,7.7,351,
3.18 ,Distant Voices,6.6,340,
3.19 ,Through the Looking Glass,7.5,344,
3.20 ,Improbable Cause,8.5,414,
3.21 ,The Die Is Cast,8.7,423,
3.22 ,Explorers,7.2,364,
3.23 ,Family Business,6.9,343,
3.24 ,Shakaar,6.9,323,
3.25 ,Facets,7.0,333,
3.26 ,The Adversary,8.2,369,
4.1 ,The Way of the Warrior,8.7,526,
4.2 ,The Visitor,8.9,799,
4.3 ,Hippocratic Oath,7.6,368,
4.4 ,Indiscretion,7.5,361,
4.5 ,Rejoined,7.0,379,
4.6 ,Starship Down,7.6,354,
4.7 ,Little Green Men,8.3,460,
4.8 ,The Sword of Kahless,7.0,349,
4.9 ,Our Man Bashir,7.9,403,
4.10 ,Homefront,8.1,375,
4.11 ,Paradise Lost,8.0,368,
4.12 ,Crossfire,7.1,351,
4.13 ,Return to Grace,7.7,332,
4.14 ,Sons of Mogh,7.2,333,
4.15 ,Bar Association,7.2,343,
4.16 ,Accession,7.2,320,
4.17 ,Rules of Engagement,7.0,344,
4.18 ,Hard Time,8.0,394,
4.19 ,Shattered Mirror,7.2,338,
4.20 ,The Muse,5.5,330,
4.21 ,For the Cause,7.7,336,
4.22 ,To the Death,7.9,355,
4.23 ,The Quickening,7.5,331,
4.24 ,Body Parts,7.4,327,
4.25 ,Broken Link,8.1,350,
5.1 ,Apocalypse Rising,8.1,358,
5.2 ,The Ship,7.9,344,
5.3 ,Looking for par'Mach in All the Wrong Places,7.6,355,
5.4 ,...Nor the Battle to the Strong,7.5,341,
5.5 ,The Assignment,7.0,318,
5.6 ,Trials and Tribble-ations,8.9,755,
5.7 ,Let He Who Is Without Sin...,5.4,340,
5.8 ,Things Past,7.5,329,
