#,Episode,UserRating,UserVotes,
1.0 ,Unaired Pilot,6.7,61,
1.1 ,Cartman Gets an Anal Probe,8.2,1,378,
1.2 ,Weight Gain 4000,8.0,1,067,
1.3 ,Volcano,8.0,995,
1.4 ,Big Gay Al's Big Gay Boat Ride,7.8,985,
1.5 ,An Elephant Makes Love to a Pig,7.8,913,
1.6 ,Death,8.2,925,
1.7 ,Pinkeye,8.4,990,
1.8 ,Starvin' Marvin,8.3,953,
1.9 ,Mr. Hankey, the Christmas Poo,8.2,935,
1.10 ,Damien,8.0,861,
1.11 ,Tom's Rhinoplasty,8.1,882,
1.12 ,Mecha-Streisand,7.9,924,
1.13 ,Cartman's Mom Is a Dirty Slut,8.6,1,052,
2.1 ,Terrance and Phillip in Not Without My Anus,6.7,972,
2.2 ,Cartman's Mom is Still a Dirty Slut,8.4,915,
2.3 ,Chickenlover,8.3,868,
2.4 ,Ike's Wee Wee,8.2,839,
2.5 ,Conjoined Fetus Lady,7.9,795,
2.6 ,The Mexican Staring Frog of Southern Sri Lanka,7.8,786,
2.7 ,City on the Edge of Forever,7.7,790,
2.8 ,Summer Sucks,7.7,722,
2.9 ,Chef's Salty Chocolate Balls,7.8,768,
2.10 ,Chickenpox,8.1,734,
2.11 ,Roger Ebert Should Lay Off the Fatty Foods,7.8,735,
2.12 ,Clubhouses,8.0,716,
2.13 ,Cow Days,7.8,720,
2.14 ,Chef Aid,7.9,761,
2.15 ,Spookyfish,8.5,861,
2.16 ,Merry Christmas Charlie Manson!,8.2,784,
2.17 ,Gnomes,8.4,851,
2.18 ,Prehistoric Ice Man,8.0,767,
3.1 ,Rainforest Shmainforest,8.4,953,
3.2 ,Spontaneous Combustion,8.3,759,
3.3 ,The Succubus,8.0,788,
3.4 ,Jakovasaurs,6.7,793,
3.5 ,Tweek vs. Craig,7.7,750,
3.6 ,Sexual Harassment Panda,8.3,837,
3.7 ,Cat Orgy,8.1,762,
3.8 ,Two Guys Naked in a Hot Tub,8.1,735,
3.9 ,Jewbilee,7.6,681,
3.10 ,Korn's Groovy Pirate Ghost Mystery,8.0,841,
3.11 ,Chinpokomon,8.5,925,
3.12 ,Hooked on Monkey Fonics,8.1,702,
3.13 ,Starvin' Marvin in Space,8.2,702,
3.14 ,The Red Badge of Gayness,8.3,730,
3.15 ,Mr. Hankey's Christmas Classics,7.3,728,
3.16 ,Are You There God? It's Me, Jesus,7.9,668,
3.17 ,World Wide Recorder Concert,8.2,681,
4.1 ,The Tooth Fairy's Tats 2000,8.3,734,
4.2 ,Cartman's Silly Hate Crime 2000,8.5,806,
4.3 ,Timmy 2000,8.3,742,
4.4 ,Quintuplets 2000,7.4,683,
4.5 ,Cartman Joins NAMBLA,8.6,1,045,
4.6 ,Cherokee Hair Tampons,8.2,702,
4.7 ,Chef Goes Nanners,8.2,695,
4.8 ,Something You Can Do with Your Finger,8.2,740,
4.9 ,Do the Handicapped Go to Hell?,8.3,758,
4.10 ,Probably,8.3,704,
4.11 ,4th Grade,8.2,694,
4.12 ,Trapper Keeper,8.2,720,
4.13 ,Helen Keller! The Musical,7.9,676,
4.14 ,Pip,7.0,773,
4.15 ,Fat Camp,8.5,788,
4.16 ,The Wacky Molestation Adventure,8.6,869,
4.17 ,A Very Crappy Christmas,7.6,638,
5.1 ,It Hits the Fan,8.4,843,
5.2 ,Cripple Fight,8.4,803,
5.3 ,Super Best Friends,8.3,782,
5.4 ,Scott Tenorman Must Die,8.9,2,916,
5.5 ,Terrance and Phillip: Behind the Blow,7.1,697,
5.6 ,Cartmanland,8.6,1,036,
5.7 ,Proper Condom Use,8.5,807,
5.8 ,Towelie,8.3,929,
5.9 ,Osama Bin Laden Has Farty Pants,7.9,845,
5.10 ,How to Eat with Your Butt,8.0,779,
5.11 ,The Entity,8.3,741,
5.12 ,Here Comes the Neighborhood,8.1,746,
5.13 ,Kenny Dies,8.6,1,021,
5.14 ,Butters' Very Own Episode,8.6,1,084,
6.1 ,Jared Has Aides,8.1,757,
6.2 ,Asspen,8.3,870,
6.3 ,Freak Strike,8.1,726,
6.4 ,Fun with Veal,8.0,712,
6.5 ,The New Terrance and Phillip Movie Trailer,8.1,826,
6.6 ,Professor Chaos,8.5,823,
6.7 ,The Simpsons Already Did It,8.6,1,063,
6.8 ,Red Hot Catholic Love,8.3,804,
6.9 ,Free Hat,8.4,827,
6.10 ,Bebe's Boobs Destroy Society,8.2,788,
6.11 ,Child Abduction Is Not Funny,8.5,816,
6.12 ,A Ladder to Heaven,8.6,909,
6.13 ,The Return of the Fellowship of the Ring to the Two Towers,8.7,1,482,
6.14 ,The Death Camp of Tolerance,8.6,916,
6.15 ,The Biggest Douche in the Universe,8.6,887,
6.16 ,My Future Self n' Me,8.5,803,
6.17 ,Red Sleigh Down,8.2,753,
7.1 ,Cancelled,8.4,851,
7.2 ,Krazy Kripples,8.2,768,
7.3 ,Toilet Paper,8.3,775,
7.4 ,I'm a Little Bit Country,8.1,758,
7.5 ,Fat Butt and Pancake Head,8.4,913,
7.6 ,Lil' Crime Stoppers,8.4,778,
7.7 ,Red Man's Greed,7.7,691,
7.8 ,South Park Is Gay,8.3,824,
7.9 ,Christian Rock Hard,8.6,1,123,
7.10 ,Grey Dawn,8.2,741,
7.11 ,Casa Bonita,8.6,1,149,
7.12 ,All About Mormons,8.6,1,052,
7.13 ,Butt Out,8.0,749,
7.14 ,Raisins,8.4,835,
7.15 ,It's Christmas in Canada,7.7,709,
8.1 ,Good Times with Weapons,8.6,1,369,
8.2 ,Up the Down Steroid,8.4,907,
8.3 ,The Passion of the Jew,8.5,1,123,
8.4 ,You Got F'd in the A,8.2,835,
8.5 ,AWESOM-O,8.7,1,334,
8.6 ,The Jeffersons,8.5,1,029,
8.7 ,Goobacks,8.3,869,
8.8 ,Douche and Turd,8.3,883,
8.9 ,Something Wall-Mart This Way Comes,8.5,892,
8.10 ,Pre-School,8.3,774,
8.11 ,Quest for Ratings,8.3,777,
8.12 ,Stupid Spoiled Whore Video Playset,8.5,972,
8.13 ,Cartman's Incredible Gift,8.4,871,
8.14 ,Woodland Critter Christmas,8.7,1,577,
9.1 ,Mr. Garrison's Fancy New Vagina,7.6,837,
9.2 ,Die Hippie, Die,8.6,1,032,
9.3 ,Wing,7.4,760,
9.4 ,Best Friends Forever,8.5,911,
9.5 ,The Losing Edge,8.5,912,
9.6 ,The Death of Eric Cartman,8.6,1,170,
9.7 ,Erection Day,7.6,767,
9.8 ,Two Days Before the Day After Tomorrow,8.4,917,
9.9 ,Marjorine,8.5,907,
9.10 ,Follow That Egg,8.0,727,
9.11 ,Ginger Kids,8.6,1,001,
9.12 ,Trapped in the Closet,8.7,1,699,
9.13 ,Free Willzyx,8.0,860,
9.14 ,Bloody Mary,7.8,811,
10.1 ,The Return of Chef,8.2,1,041,
10.2 ,Smug Alert!,8.1,897,
10.3 ,Cartoon Wars: Part 1,8.5,1,092,
10.4 ,Cartoon Wars: Part 2,8.5,1,045,
10.5 ,A Million Little Fibers,6.2,1,176,
10.6 ,ManBearPig,7.8,1,103,
10.7 ,Tsst,8.7,1,224,
10.8 ,Make Love, Not Warcraft,8.9,2,839,
10.9 ,Mystery of the Urinal Deuce,8.2,965,
10.10 ,Miss Teacher Bangs a Boy,8.4,1,008,
10.11 ,Hell on Earth 2006,8.0,888,
10.12 ,Go God Go,8.5,997,
10.13 ,Go God Go XII,8.5,956,
10.14 ,Stanley's Cup,7.3,1,152,
11.1 ,With Apologies to Jesse Jackson,8.6,1,391,
11.2 ,Cartman Sucks,8.5,1,285,
11.3 ,Lice Capades,8.1,1,022,
11.4 ,The Snuke,8.4,1,112,
11.5 ,Fantastic Easter Special,8.3,1,008,
11.6 ,D-Yikes!,8.0,1,063,
11.7 ,Night of the Living Homeless,8.6,1,271,
11.8 ,Le Petit Tourette,8.6,1,253,
11.9 ,More Crap,7.8,1,094,
11.10 ,Imaginationland,8.6,1,700,
11.11 ,Imaginationland: Episode II,8.5,1,333,
11.12 ,Imaginationland: Episode III,8.5,1,321,
11.13 ,Guitar Queer-o,8.3,1,136,
11.14 ,The List,8.4,999,
12.1 ,Tonsil Trouble,7.8,1,046,
12.2 ,Britney's New Look,6.8,1,139,
12.3 ,Major Boobage,8.5,1,316,
12.4 ,Canada on Strike,8.0,1,018,
12.5 ,Eek, a Penis!,7.6,884,
12.6 ,Over Logging,8.4,1,064,
12.7 ,Super Fun Time,8.2,904,
12.8 ,The China Probrem,7.8,1,068,
12.9 ,Breast Cancer Show Ever,8.4,951,
12.10 ,Pandemic,8.0,778,
12.11 ,Pandemic 2: The Startling,7.8,765,
12.12 ,About Last Night...,7.8,851,
12.13 ,Elementary School Musical,7.7,764,
12.14 ,The Ungroundable,7.8,764,
13.1 ,The Ring,8.1,1,048,
13.2 ,The Coon,8.2,1,025,
13.3 ,Margaritaville,8.4,985,
13.4 ,Eat, Pray, Queef,6.3,902,
13.5 ,Fishsticks,8.5,1,266,
13.6 ,Pinewood Derby,7.7,792,
13.7 ,Fatbeard,8.1,867,
13.8 ,Dead Celebrities,7.8,788,
13.9 ,Butters' Bottom Bitch,8.4,902,
13.10 ,W.T.F.,8.0,747,
13.11 ,Whale Whores,8.2,803,
13.12 ,The F Word,7.8,732,
13.13 ,Dances with Smurfs,8.0,693,
13.14 ,Pee,7.5,674,
14.1 ,Sexual Healing,7.5,818,
14.2 ,The Tale of Scrotie McBoogerballs,7.8,793,
14.3 ,Medicinal Fried Chicken,8.4,981,
14.4 ,You Have 0 Friends,8.5,1,074,
14.5 ,200,8.4,905,
14.6 ,201,8.4,713,
14.7 ,Crippled Summer,6.6,818,
14.8 ,Poor and Stupid,7.3,693,
14.9 ,It's a Jersey Thing,7.9,751,
14.10 ,Insheeption,7.9,719,
14.11 ,Coon 2: Hindsight,7.8,615,
14.12 ,Mysterion Rises,8.0,649,
14.13 ,Coon vs. Coon and Friends,8.0,590,
14.14 ,Crème Fraiche,7.9,672,
15.1 ,HUMANCENTiPAD,7.5,1,044,
15.2 ,Funnybot,6.0,780,
15.3 ,Royal Pudding,6.6,756,
15.4 ,T.M.I.,7.8,654,
15.5 ,Crack Baby Athletic Association,7.1,640,
15.6 ,City Sushi,7.8,700,
15.7 ,You're Getting Old,8.3,990,
15.8 ,Ass Burgers,7.8,693,
15.9 ,The Last of the Meheecans,7.8,613,
15.10 ,Bass to Mouth,7.3,550,
15.11 ,Broadway Bro Down,7.7,541,
15.12 ,1%,7.5,530,
15.13 ,A History Channel Thanksgiving,7.1,526,
15.14 ,The Poor Kid,7.5,489,
16.1 ,Reverse Cowgirl,7.6,787,
16.2 ,Cash for Gold,7.7,661,
16.3 ,Faith Hilling,6.9,631,
16.4 ,Jewpacabra,6.3,592,
16.5 ,Butterballs,7.3,582,
16.6 ,I Should Have Never Gone Ziplining,6.4,767,
16.7 ,Cartman Finds Love,7.9,642,
16.8 ,Sarcastaball,7.3,555,
16.9 ,Raising the Bar,8.1,614,
16.10 ,Insecurity,8.1,580,
16.11 ,Going Native,6.2,459,
16.12 ,A Nightmare on Facetime,8.0,532,
16.13 ,A Scause for Applause,7.1,436,
16.14 ,Obama Wins!,7.3,454,
17.1 ,Let Go, Let Gov,7.3,674,
17.2 ,Informative Murder Porn,7.9,617,
17.3 ,World War Zimmerman,7.7,657,
17.4 ,Goth Kids 3: Dawn of the Posers,6.4,488,
17.5 ,Taming Strange,7.3,418,
17.6 ,Ginger Cow,7.6,474,
17.7 ,Black Friday,8.6,722,
17.8 ,A Song of Ass and Fire,8.5,563,
17.9 ,Titties and Dragons,8.5,452,
17.10 ,The Hobbit,8.4,464,

18.1 ,Episode #18.1
